Unnamed: 0,road_index,distance_to_grid,Latitude,Longitude
6208,"(292141809, 416171757, 0)",13.26275771,49.05288516,-122.6945978
6207,"(292141809, 416171757, 0)",25.09329735,49.0528871,-122.694897
6209,"(292141809, 416171757, 0)",26.4482155,49.05288463,-122.6942986
6206,"(292141809, 416171757, 0)",45.41565776,49.05288985,-122.6951963
6210,"(292141809, 416171757, 0)",46.95347396,49.05288411,-122.6939993
6205,"(292141809, 416171757, 0)",66.91025225,49.05289259,-122.6954955
